passport_id,Origin,Destination,Requirement
PASS34feb7,Afghanistan,Ireland,Visa Required
PASS239d75,Afghanistan,Israel,Visa Required
PASS289e9c,Afghanistan,Italy,Visa Required
PASS184772,Afghanistan,Jamaica,Visa Required
PASS7716a3,Afghanistan,Japan,Visa Required
PASS6a96eb,Afghanistan,Jordan,Visa Required
PASSe7bbe3,Afghanistan,Kazakhstan,Visa Required
PASS42cce0,Afghanistan,Kenya,Visa Free
PASS464bd8,Afghanistan,Kiribati,Visa Required
PASSbb7190,Afghanistan,Kosovo,Visa Required
PASSd65a9f,Afghanistan,Kuwait,Visa Required
PASS90c82d,Afghanistan,Kyrgyzstan,Visa Required
PASSc2ff0b,Afghanistan,Laos,Visa Required
PASSb4db1a,Afghanistan,Latvia,Visa Required
PASS00d7bb,Afghanistan,Lebanon,Visa Required
PASS51d342,Afghanistan,Lesotho,Visa Required
PASS134268,Afghanistan,Liberia,Visa Required
PASSe9f157,Afghanistan,Libya,Visa Required
PASS50b90f,Afghanistan,Liechtenstein,Visa Required
PASSa05da2,Afghanistan,Lithuania,Visa Required
PASS4c56e5,Afghanistan,Luxembourg,Visa Required
PASS3d71e6,Afghanistan,Macao (SAR China),Visa Free
PASScea2eb,Afghanistan,Madagascar,Visa Free
PASSa6ac9d,Afghanistan,Malawi,Visa Required
PASSaa6d13,Afghanistan,Malaysia,Visa Required
PASS33bdfa,Afghanistan,Maldives,Visa Free
PASS544355,Afghanistan,Mali,Visa Required
PASSe0a99d,Afghanistan,Malta,Visa Required
PASS911ac6,Afghanistan,Marshall Islands,Visa Required
PASS892a2b,Afghanistan,Mauritania,Visa Required
PASS932e52,Afghanistan,Mauritius,Visa Required
PASS8a7350,Afghanistan,Mayotte,Visa Required
PASSb83727,Afghanistan,Mexico,Visa Required
PASS92386f,Afghanistan,Micronesia,Visa Free
PASS4ebab3,Afghanistan,Moldova,Visa Required
PASS0f80f0,Afghanistan,Monaco,Visa Required
PASSb8746f,Afghanistan,Mongolia,Visa Required
PASS27410e,Afghanistan,Montenegro,Visa Required
PASSfaabe4,Afghanistan,Montserrat,Visa Required
PASS83d2e2,Afghanistan,Morocco,Visa Required
PASS311ca2,Afghanistan,Mozambique,Visa Free
PASS8883db,Afghanistan,Myanmar,Visa Required
PASS5a5489,Afghanistan,Namibia,Visa Required
PASSb17551,Afghanistan,Nauru,Visa Required
PASSea1c5d,Afghanistan,Nepal,Visa Required
PASS76aa3b,Afghanistan,Netherlands,Visa Required
PASS5c2e33,Afghanistan,New Caledonia,Visa Required
PASS9cb5c6,Afghanistan,New Zealand,Visa Required
PASS1a966d,Afghanistan,Nicaragua,Visa Required
PASS2b6ea9,Afghanistan,Niger,Visa Required
PASS346cc8,Afghanistan,Nigeria,Visa Required
PASSb026c6,Afghanistan,Niue,Visa Free
PASS74b666,Afghanistan,North Korea,Visa Required
PASS76a772,Afghanistan,North Macedonia,Visa Required
PASS52983c,Afghanistan,Northern Mariana Islands,Visa Required
PASS35b322,Afghanistan,Norway,Visa Required
PASS9d3121,Afghanistan,Oman,Visa Required
PASSa3af4a,Afghanistan,Pakistan,Visa Required
PASS6b3b90,Afghanistan,Palau Islands,Visa Free
PASS2e2a18,Afghanistan,Palestinian Territory,Visa Required
PASSf92ce1,Afghanistan,Panama,Visa Required
PASS62e490,Afghanistan,Papua New Guinea,Visa Required
PASS4ecc60,Afghanistan,Paraguay,Visa Required
PASS54eddc,Afghanistan,Peru,Visa Required
PASS0f614c,Afghanistan,Philippines,Visa Required
PASSec4941,Afghanistan,Poland,Visa Required
PASSf1bb1a,Afghanistan,Portugal,Visa Required
PASS66e61a,Afghanistan,Puerto Rico,Visa Required
PASSe52907,Afghanistan,Qatar,Visa Required
PASSa1e935,Afghanistan,Reunion,Visa Required
PASS5308fd,Afghanistan,Romania,Visa Required
PASSa11b3f,Afghanistan,Russian Federation,Visa Required
PASSa99b07,Afghanistan,Rwanda,Visa Free
PASS39f544,Afghanistan,Samoa,Visa Free
PASSc90b2b,Afghanistan,San Marino,Visa Required
PASSc5a5b0,Afghanistan,Sao Tome and Principe,Visa Required
PASSafdaf9,Afghanistan,Saudi Arabia,Visa Required
PASS450e2b,Afghanistan,Senegal,Visa Required
PASS334f8a,Afghanistan,Serbia,Visa Required
PASSa99661,Afghanistan,Seychelles,Visa Free
PASS397ed7,Afghanistan,Sierra Leone,Visa Required
PASS4f3064,Afghanistan,Singapore,Visa Required
PASS8ed7e5,Afghanistan,Slovakia,Visa Required
PASSd432b5,Afghanistan,Slovenia,Visa Required
PASSb90a08,Afghanistan,Solomon Islands,Visa Required
PASS9a4a9e,Afghanistan,Somalia,Visa Free
PASSf2ee7c,Afghanistan,South Africa,Visa Required
PASS48d58f,Afghanistan,South Korea,Visa Required
PASSd46c94,Afghanistan,South Sudan,Visa Required
PASSda7e95,Afghanistan,Spain,Visa Required
PASS6f8f43,Afghanistan,Sri Lanka,Visa Free
PASSa4e982,Afghanistan,St. Helena,Visa Required
PASS801b30,Afghanistan,St. Kitts and Nevis,Visa Required
PASS63b69a,Afghanistan,St. Lucia,Visa Required
PASSd86ade,Afghanistan,St. Maarten,Visa Required
PASS593b94,Afghanistan,St. Vincent and the Grenadines,Visa Required
PASSde1031,Afghanistan,Sudan,Visa Required
PASS8a69ed,Afghanistan,Suriname,Visa Required
PASSa60ba0,Afghanistan,Sweden,Visa Required
PASS711118,Afghanistan,Switzerland,Visa Required
PASSf6959f,Afghanistan,Syria,Visa Required
PASS31ef51,Afghanistan,Taiwan (Chinese Taipei),Visa Required
PASS05abee,Afghanistan,Tajikistan,Visa Required
PASSae5b30,Afghanistan,Tanzania,Visa Required
PASSfe5b23,Afghanistan,Thailand,Visa Required
PASS2b24ea,Afghanistan,The Gambia,Visa Required
PASS2c3a29,Afghanistan,Timor-Leste,Visa Free
PASS8a67a9,Afghanistan,Togo,Visa Required
PASSfda48c,Afghanistan,Tonga,Visa Required
PASSff612e,Afghanistan,Trinidad and Tobago,Visa Required
PASSc6722d,Afghanistan,Tunisia,Visa Required
PASSb0dace,Afghanistan,Turkmenistan,Visa Required
PASS426c4d,Afghanistan,Turks and Caicos Islands,Visa Required
PASS904053,Afghanistan,Tuvalu,Visa Free
PASS2c33b6,Afghanistan,Türkiye,Visa Required
PASSf75889,Afghanistan,US Virgin Islands,Visa Required
PASS280386,Afghanistan,Uganda,Visa Required
PASSb42c24,Afghanistan,Ukraine,Visa Required
PASScc3f59,Afghanistan,United Arab Emirates,Visa Required
PASS260493,Afghanistan,United Kingdom,Visa Required
PASS48adf6,Afghanistan,United States,Visa Required
PASS37c47d,Afghanistan,Uruguay,Visa Required
PASSaf1a9c,Afghanistan,Uzbekistan,Visa Required
PASS527f36,Afghanistan,Vanuatu,Visa Required
PASSf07951,Afghanistan,Vatican City,Visa Required
PASSdc165d,Afghanistan,Venezuela,Visa Required
PASS889020,Afghanistan,Vietnam,Visa Required
PASS6bc7c5,Afghanistan,Yemen,Visa Required
PASS3508bf,Afghanistan,Zambia,Visa Required
PASSa03838,Afghanistan,Zimbabwe,Visa Required
PASS878a08,Afghanistan,eSwatini,Visa Required
PASSd512bf,Albania,Afghanistan,Visa Required
PASS8fbfdb,Albania,Algeria,Visa Required
PASS208aea,Albania,American Samoa,Visa Required
PASSb07dc7,Albania,Andorra,Visa Free
PASS676b5c,Albania,Angola,Visa Required
PASS42d8a7,Albania,Anguilla,Visa Required
PASSf7cb42,Albania,Antigua and Barbuda,Visa Free
PASS8ed870,Albania,Argentina,Visa Required
PASS683e40,Albania,Armenia,Visa Free
PASSc7e963,Albania,Aruba,Visa Free
PASS844607,Albania,Australia,Visa Required
PASS1837ad,Albania,Austria,Visa Free
PASS8962dc,Albania,Azerbaijan,Visa Free
PASSa7c935,Albania,Bahamas,Visa Required
PASS9881e8,Albania,Bahrain,Visa Required
PASS416aef,Albania,Bangladesh,Visa Free
PASSe79087,Albania,Barbados,Visa Free
PASSa6a065,Albania,Belarus,Visa Free
PASSf9680e,Albania,Belgium,Visa Free
PASS4abd8f,Albania,Belize,Visa Required
PASS54504a,Albania,Benin,Visa Required
PASS65d9bd,Albania,Bermuda,Visa Required
PASSebc8b0,Albania,Bhutan,Visa Required
PASS677118,Albania,Bolivia,Visa Free
PASSf9f4af,Albania,Bonaire; St. Eustatius and Saba,Visa Free
PASS091645,Albania,Bosnia and Herzegovina,Visa Free
PASSeba34f,Albania,Botswana,Visa Required
PASS2f6503,Albania,Brazil,Visa Free
PASSe8c7ae,Albania,British Virgin Islands,Visa Required
PASS566a32,Albania,Brunei,Visa Required
PASS175611,Albania,Bulgaria,Visa Free
PASS5e399a,Albania,Burkina Faso,Visa Required
PASS096670,Albania,Burundi,Visa Free
PASS832565,Albania,Cambodia,Visa Free
PASSa29b4f,Albania,Cameroon,Visa Required
PASS83a22b,Albania,Canada,Visa Required
PASS637937,Albania,Cape Verde Islands,Visa Free
PASSaf9218,Albania,Cayman Islands,Visa Required
PASS043aa3,Albania,Central African Republic,Visa Required
PASSad0598,Albania,Chad,Visa Required
PASS957098,Albania,Chile,Visa Free
PASS8966b2,Albania,China,Visa Free
PASSeb393e,Albania,Colombia,Visa Free
PASSc4ccb1,Albania,Comoro Islands,Visa Free
PASSbf90f0,Albania,Congo (Dem. Rep.),Visa Required
PASS0ea9ae,Albania,Congo (Rep.),Visa Required
PASS8d9545,Albania,Cook Islands,Visa Free
PASS62da51,Albania,Costa Rica,Visa Required
PASSad8728,Albania,Cote d'Ivoire,Visa Required
PASS4b944a,Albania,Croatia,Visa Free
PASS221ce9,Albania,Cuba,Visa Required
PASSf4f975,Albania,Curacao,Visa Free
PASSa7f989,Albania,Cyprus,Visa Free
PASSf603fc,Albania,Czechia,Visa Free
PASS0be750,Albania,Denmark,Visa Free
PASS5f4b3d,Albania,Djibouti,Visa Free
PASSdb2b5c,Albania,Dominica,Visa Free
PASSceb2fd,Albania,Dominican Republic,Visa Free
PASS27e2a1,Albania,Ecuador,Visa Free
PASSbafeb3,Albania,Egypt,Visa Free
PASSb842c4,Albania,El Salvador,Visa Free
PASSb68fff,Albania,Equatorial Guinea,Visa Required
PASS8862cc,Albania,Eritrea,Visa Required
PASSa68a38,Albania,Estonia,Visa Free
PASSe16e50,Albania,Ethiopia,Visa Required
PASS6fc343,Albania,Falkland Islands,Visa Required
PASSb457a6,Albania,Faroe Islands,Visa Free
PASSf66300,Albania,Fiji,Visa Required
PASS501c73,Albania,Finland,Visa Free
PASS7b6e78,Albania,France,Visa Free
PASSddaedd,Albania,French Guiana,Visa Free
PASSe82d1c,Albania,French Polynesia,Visa Free
PASS277851,Albania,French West Indies,Visa Free
PASSb2f627,Albania,Gabon,Visa Required
PASS52ab78,Albania,Georgia,Visa Free
PASSd206fd,Albania,Germany,Visa Free
PASS6cfddb,Albania,Ghana,Visa Required
PASSf7c7e2,Albania,Gibraltar,Visa Required
PASSbe4a8d,Albania,Greece,Visa Free
PASS4267f2,Albania,Greenland,Visa Free
PASS892991,Albania,Grenada,Visa Required
PASS6d5979,Albania,Guam,Visa Required
PASS9fe9fd,Albania,Guatemala,Visa Required
PASSddf5e2,Albania,Guinea,Visa Required
PASS37e150,Albania,Guinea-Bissau,Visa Free
PASS0da911,Albania,Guyana,Visa Free
PASS8707d8,Albania,Haiti,Visa Free
PASS0ff660,Albania,Honduras,Visa Required
PASSfda03b,Albania,Hong Kong (SAR China),Visa Free
PASSfaaabf,Albania,Hungary,Visa Free
PASS535d00,Albania,Iceland,Visa Free
PASSb9ce2d,Albania,India,Visa Required
PASSc8722f,Albania,Indonesia,Visa Free
PASS8394b4,Albania,Iran,Visa Free
PASS54019e,Albania,Iraq,Visa Required
PASS0557d6,Albania,Ireland,Visa Required
PASSf6635f,Albania,Israel,Visa Free
PASS663abd,Albania,Italy,Visa Free
PASS0689d2,Albania,Jamaica,Visa Free
PASS27eb99,Albania,Japan,Visa Required
PASS50b7d8,Albania,Jordan,Visa Free
PASSc74215,Albania,Kazakhstan,Visa Free
PASSa9cfc2,Albania,Kenya,Visa Free
PASS0b64e9,Albania,Kiribati,Visa Required
PASScf1574,Albania,Kosovo,Visa Free
PASSd44e31,Albania,Kuwait,Visa Required
PASS041c01,Albania,Kyrgyzstan,Visa Free
PASSdd3258,Albania,Laos,Visa Free
PASSe616cb,Albania,Latvia,Visa Free
PASS59bfc1,Albania,Lebanon,Visa Required
PASSefc5e5,Albania,Lesotho,Visa Required
PASS69e255,Albania,Liberia,Visa Required
PASS3e7a31,Albania,Libya,Visa Required
PASS9242c9,Albania,Liechtenstein,Visa Free
PASSbb0f2a,Albania,Lithuania,Visa Free
PASS8729e1,Albania,Luxembourg,Visa Free
PASS05e00b,Albania,Macao (SAR China),Visa Free
PASS9b66b2,Albania,Madagascar,Visa Free
PASScd3155,Albania,Malawi,Visa Free
PASSd288e7,Albania,Malaysia,Visa Free
PASSead876,Albania,Maldives,Visa Free
PASS4e88dc,Albania,Mali,Visa Required
PASS600988,Albania,Malta,Visa Free
PASS3c9c33,Albania,Marshall Islands,Visa Required
PASS23dbc2,Albania,Mauritania,Visa Required
PASS871c56,Albania,Mauritius,Visa Free
PASSb28583,Albania,Mayotte,Visa Free
PASS992f88,Albania,Mexico,Visa Required
PASSb10ce7,Albania,Micronesia,Visa Free
PASSe76cd6,Albania,Moldova,Visa Free
PASS4e51e3,Albania,Monaco,Visa Free
PASSdafbe0,Albania,Mongolia,Visa Required
PASS100bf0,Albania,Montenegro,Visa Free
PASSebb1b7,Albania,Montserrat,Visa Required
PASSc3add8,Albania,Morocco,Visa Required
PASS7aa126,Albania,Mozambique,Visa Free
PASS71f120,Albania,Myanmar,Visa Required
PASSd6151c,Albania,Namibia,Visa Required
PASS3649b5,Albania,Nauru,Visa Required
PASS7306c1,Albania,Nepal,Visa Free
PASSbae8d0,Albania,Netherlands,Visa Free
PASSdec534,Albania,New Caledonia,Visa Free
PASS1c9e26,Albania,New Zealand,Visa Required
PASS13d9e6,Albania,Nicaragua,Visa Required
PASS587182,Albania,Niger,Visa Required
PASSecd4a0,Albania,Nigeria,Visa Required
PASSf78c07,Albania,Niue,Visa Free
PASS2f747d,Albania,North Korea,Visa Required
PASSa78b3a,Albania,North Macedonia,Visa Free
PASS476773,Albania,Northern Mariana Islands,Visa Required
PASS67f8a8,Albania,Norway,Visa Free
PASS92beeb,Albania,Oman,Visa Required
PASSb66604,Albania,Pakistan,Visa Required
PASSf594eb,Albania,Palau Islands,Visa Free
PASS6012b9,Albania,Palestinian Territory,Visa Free
PASS0cbaf2,Albania,Panama,Visa Required
PASSedb97f,Albania,Papua New Guinea,Visa Required
PASSd14119,Albania,Paraguay,Visa Required
PASS5076ae,Albania,Peru,Visa Required
PASS00dd2e,Albania,Philippines,Visa Required
PASSff4ba1,Albania,Poland,Visa Free
PASSb51188,Albania,Portugal,Visa Free
PASSa3d99e,Albania,Puerto Rico,Visa Required
PASS059c11,Albania,Qatar,Visa Required
PASS7bb0c8,Albania,Reunion,Visa Free
PASSa5f847,Albania,Romania,Visa Free
PASS4e9f8b,Albania,Russian Federation,Visa Required
PASSf92fde,Albania,Rwanda,Visa Free
PASS6a2181,Albania,Samoa,Visa Free
PASS982974,Albania,San Marino,Visa Free
PASS55bf4c,Albania,Sao Tome and Principe,Visa Required
PASS294fdf,Albania,Saudi Arabia,Visa Free
PASS7a44c3,Albania,Senegal,Visa Required
PASS444350,Albania,Serbia,Visa Free
PASS330102,Albania,Seychelles,Visa Free
PASS9e8be4,Albania,Sierra Leone,Visa Required
PASS7d027e,Albania,Singapore,Visa Free
PASS2a5055,Albania,Slovakia,Visa Free
PASSc2f12c,Albania,Slovenia,Visa Free
PASSfb6f75,Albania,Solomon Islands,Visa Required
PASSbb5ca6,Albania,Somalia,Visa Free
PASS363a49,Albania,South Africa,Visa Required
PASS80df90,Albania,South Korea,Visa Free
PASS021d98,Albania,South Sudan,Visa Required
PASS117aa5,Albania,Spain,Visa Free
PASS9057d0,Albania,Sri Lanka,Visa Free
PASS4fcf16,Albania,St. Helena,Visa Required
PASSd9e355,Albania,St. Kitts and Nevis,Visa Free
PASS441007,Albania,St. Lucia,Visa Required
PASSb3c7ae,Albania,St. Maarten,Visa Free
PASSe2a813,Albania,St. Vincent and the Grenadines,Visa Free
PASS33fbf2,Albania,Sudan,Visa Required
PASS6f5a46,Albania,Suriname,Visa Free
PASS53306b,Albania,Sweden,Visa Free
PASS489d37,Albania,Switzerland,Visa Free
PASS455cc6,Albania,Syria,Visa Required
PASSec5996,Albania,Taiwan (Chinese Taipei),Visa Required
PASSec1107,Albania,Tajikistan,Visa Required
PASS6316f0,Albania,Tanzania,Visa Free
PASS0a38de,Albania,Thailand,Visa Free
PASS0ae68a,Albania,The Gambia,Visa Free
PASSb8c45a,Albania,Timor-Leste,Visa Free
PASS95a145,Albania,Togo,Visa Required
PASS970707,Albania,Tonga,Visa Required
PASS718e42,Albania,Trinidad and Tobago,Visa Free
PASSb0cdd2,Albania,Tunisia,Visa Required
PASSb3fccc,Albania,Turkmenistan,Visa Required
PASSf473f3,Albania,Turks and Caicos Islands,Visa Required
PASS39e446,Albania,Tuvalu,Visa Free
PASS84ad1b,Albania,Türkiye,Visa Free
PASS4f623a,Albania,US Virgin Islands,Visa Required
PASS34dffe,Albania,Uganda,Visa Required
PASS0f5e9c,Albania,Ukraine,Visa Free
PASS43f475,Albania,United Arab Emirates,Visa Free
PASSf4ecef,Albania,United Kingdom,Visa Required
PASSb32254,Albania,United States,Visa Required
PASSa92948,Albania,Uruguay,Visa Required
PASS4cb9fc,Albania,Uzbekistan,Visa Required
PASS1bb6a8,Albania,Vanuatu,Visa Required
PASS53bf3f,Albania,Vatican City,Visa Free
PASS0b898e,Albania,Venezuela,Visa Required
PASS64b387,Albania,Vietnam,Visa Required
PASSad2ce0,Albania,Yemen,Visa Required
PASS49566d,Albania,Zambia,Visa Free
PASS2bb678,Albania,Zimbabwe,Visa Free
PASS7ec2e8,Albania,eSwatini,Visa Required
PASSb31321,Algeria,Afghanistan,Visa Required
PASS402391,Algeria,Albania,Visa Required
PASSf986e1,Algeria,American Samoa,Visa Required
PASS6eceac,Algeria,Andorra,Visa Required
PASSd6546c,Algeria,Angola,Visa Free
PASSc2f2ba,Algeria,Anguilla,Visa Required
PASSa195df,Algeria,Antigua and Barbuda,Visa Required
PASS3775f3,Algeria,Argentina,Visa Required
PASS2be06f,Algeria,Armenia,Visa Required
PASSbf63ff,Algeria,Aruba,Visa Required
PASS7b82d9,Algeria,Australia,Visa Required
PASS707ae5,Algeria,Austria,Visa Required
PASS5e330c,Algeria,Azerbaijan,Visa Required
PASSe16ad0,Algeria,Bahamas,Visa Required
PASS7c631e,Algeria,Bahrain,Visa Required
PASS239270,Algeria,Bangladesh,Visa Required
PASS1b445b,Algeria,Barbados,Visa Free
PASSfdc8f4,Algeria,Belarus,Visa Required
PASS568ce3,Algeria,Belgium,Visa Required
PASS5a0952,Algeria,Belize,Visa Required
PASSf03972,Algeria,Benin,Visa Free
PASSef6e83,Algeria,Bermuda,Visa Required
PASS0666f4,Algeria,Bhutan,Visa Required
PASSb88dc0,Algeria,Bolivia,Visa Free
PASS26ac6a,Algeria,Bonaire; St. Eustatius and Saba,Visa Required
PASS192175,Algeria,Bosnia and Herzegovina,Visa Required
PASS4b7f93,Algeria,Botswana,Visa Required
PASS4a52de,Algeria,Brazil,Visa Required
PASS773e8b,Algeria,British Virgin Islands,Visa Required
PASScac83c,Algeria,Brunei,Visa Required
PASSb7598f,Algeria,Bulgaria,Visa Required
PASSe06824,Algeria,Burkina Faso,Visa Required
PASS765351,Algeria,Burundi,Visa Free
PASS8de691,Algeria,Cambodia,Visa Free
PASS34b7b6,Algeria,Cameroon,Visa Required
PASSbdc97e,Algeria,Canada,Visa Required
PASSbcbc45,Algeria,Cape Verde Islands,Visa Free
PASS2afaee,Algeria,Cayman Islands,Visa Required
PASS47893d,Algeria,Central African Republic,Visa Required
PASS254536,Algeria,Chad,Visa Required
PASS0a880e,Algeria,Chile,Visa Required
PASS4d10e7,Algeria,China,Visa Required
PASS1d9cc8,Algeria,Colombia,Visa Required
PASS6f22c5,Algeria,Comoro Islands,Visa Free
PASS673516,Algeria,Congo (Dem. Rep.),Visa Required
PASS28f912,Algeria,Congo (Rep.),Visa Required
PASSf58472,Algeria,Cook Islands,Visa Free
PASS3fca53,Algeria,Costa Rica,Visa Required
PASS6807da,Algeria,Cote d'Ivoire,Visa Required
PASS24bb46,Algeria,Croatia,Visa Required
PASScda940,Algeria,Cuba,Visa Required
PASSc23c34,Algeria,Curacao,Visa Required
PASS93600e,Algeria,Cyprus,Visa Required
PASS5430d7,Algeria,Czechia,Visa Required
PASS8b2ff7,Algeria,Denmark,Visa Required
PASS35c645,Algeria,Djibouti,Visa Free
PASSea0d0c,Algeria,Dominica,Visa Free
PASS4cbc48,Algeria,Dominican Republic,Visa Required
PASS9612fe,Algeria,Ecuador,Visa Free
PASS883913,Algeria,Egypt,Visa Required
PASSc757e6,Algeria,El Salvador,Visa Required
PASSed069a,Algeria,Equatorial Guinea,Visa Required
PASSa82021,Algeria,Eritrea,Visa Required
PASScdbe89,Algeria,Estonia,Visa Required
PASS92cbb3,Algeria,Ethiopia,Visa Free
PASS730755,Algeria,Falkland Islands,Visa Required
PASS507954,Algeria,Faroe Islands,Visa Required
PASS5481ee,Algeria,Fiji,Visa Required
PASS11039d,Algeria,Finland,Visa Required
PASS2316db,Algeria,France,Visa Required
PASS5cb1c2,Algeria,French Guiana,Visa Required
PASSfa1624,Algeria,French Polynesia,Visa Required
PASS8fe919,Algeria,French West Indies,Visa Required
PASSb104b2,Algeria,Gabon,Visa Required
PASS6f8bd1,Algeria,Georgia,Visa Required
PASS20d53d,Algeria,Germany,Visa Required
PASSb567df,Algeria,Ghana,Visa Free
PASS835b62,Algeria,Gibraltar,Visa Required
PASS031a1b,Algeria,Greece,Visa Required
PASS1626aa,Algeria,Greenland,Visa Required
PASS5f21b4,Algeria,Grenada,Visa Required
PASSeaf4d6,Algeria,Guam,Visa Required
PASSc18a87,Algeria,Guatemala,Visa Required
PASS868bc9,Algeria,Guinea,Visa Free
PASS6aabd5,Algeria,Guinea-Bissau,Visa Free
PASSbdda51,Algeria,Guyana,Visa Required
PASSd07489,Algeria,Haiti,Visa Free
PASS36b504,Algeria,Honduras,Visa Required
PASS7ce5a6,Algeria,Hong Kong (SAR China),Visa Free
PASS0cb251,Algeria,Hungary,Visa Required
PASSff1d28,Algeria,Iceland,Visa Required
PASS1a74dd,Algeria,India,Visa Required
