history_id,user_id,flight_id,city,country,issued_passport,visa_required,flight_dep,flight_arr,length_of_stay,restaurants,hotels
HIST5363b162,USER5e5e1a7c,FLYd15739,New York,United States,Costa Rica,Visa Required,Cox's Bazar,New York,10,[],[]
HISTe3c15d55,USERfb9de427,FLY783223,London,United Kingdom,Paraguay,Visa Free,Chittagong,London,3,"['RESTO03b7b2', 'RESTO78189b', 'RESTOfeb448', 'RESTO006c0c', 'RESTO15602c', 'RESTO0d36de']",['HOT66d7f4']
HISTb60f6d0f,USERfb9de427,FLY8709c6,Dubai,United Arab Emirates,Paraguay,Visa Free,Chittagong,Dubai,5,"['RESTO82af76', 'RESTOc811dd', 'RESTO2fc452', 'RESTO4b852f', 'RESTO265fd6', 'RESTO588994', 'RESTO91daaa', 'RESTO8b1c60', 'RESTO157846', 'RESTO3ecf6c']",['HOTb74b93']
HISTe60ee00f,USERfbb18786,FLY178e84,Istanbul,Türkiye,Bhutan,Visa Required,Dhaka,Istanbul,9,[],"['HOTa97f28', 'HOTcbf2d4']"
HISTedd4a9c6,USER6b5b7565,FLYb04028,London,United Kingdom,Chad,Visa Required,Cox's Bazar,London,6,"['RESTO8a18c6', 'RESTO1d0984', 'RESTO0d36de', 'RESTO6f47a9', 'RESTOfeb448', 'RESTO1ac4e3', 'RESTO3c208c', 'RESTO03b7b2', 'RESTO33b6b9', 'RESTO15602c', 'RESTO78189b', 'RESTO82e2a6', 'RESTOe1162d', 'RESTOb9a21a', 'RESTOcd6e90', 'RESTO006c0c', 'RESTO8d65c2', 'RESTO0d4f52']",['HOTdf7676']
HIST918adb6d,USERbcd274c7,FLY3b9145,New York,United States,Croatia,Visa Free,Cox's Bazar,New York,13,[],[]
HISTeaa3e19c,USER6e23b9a1,FLY894643,Dubai,United Arab Emirates,Bangladesh,Visa Required,Cox's Bazar,Dubai,14,"['RESTO4b852f', 'RESTOeaf22e', 'RESTOcf3e0c', 'RESTO82af76', 'RESTO588994', 'RESTO8b1c60', 'RESTOd65a0c', 'RESTO19112a', 'RESTObe3105', 'RESTO301769', 'RESTOc811dd', 'RESTOd4a290', 'RESTO91daaa', 'RESTO64fcf0', 'RESTO3ecf6c', 'RESTO2fc452', 'RESTO157846', 'RESTO3e2212', 'RESTO265fd6', 'RESTO879f0f']","['HOT9c79bf', 'HOT9f31bc', 'HOT471596', 'HOT5e4192']"
HISTe26976fa,USERc605a006,FLY647322,London,United Kingdom,Bhutan,Visa Required,Chittagong,London,5,"['RESTOe1162d', 'RESTOfeb448', 'RESTO1d0984', 'RESTO0d36de', 'RESTO3c208c', 'RESTO82e2a6', 'RESTO8a18c6', 'RESTO006c0c', 'RESTO6bc0e3', 'RESTOc0b4cb', 'RESTO15602c', 'RESTOb9a21a', 'RESTO0d4f52', 'RESTO78189b', 'RESTO03b7b2']",['HOTf0b6ac']
HIST38c13b0c,USERdb93b5f6,FLYe045f6,Dubai,United Arab Emirates,Tajikistan,Visa Required,Sylhet Osmani,Dubai,7,"['RESTO879f0f', 'RESTO91daaa', 'RESTOeaf22e', 'RESTO19112a', 'RESTO588994', 'RESTO301769', 'RESTO157846', 'RESTOd65a0c', 'RESTO4b852f', 'RESTOcf3e0c', 'RESTO265fd6', 'RESTO2fc452', 'RESTObe3105', 'RESTO82af76']","['HOT179af9', 'HOTad404c']"
HIST4b2f5385,USER6222e9b3,FLY09bd15,London,United Kingdom,Luxembourg,Visa Free,Cox's Bazar,London,12,"['RESTOe1162d', 'RESTO8d65c2', 'RESTO78189b', 'RESTO0d4f52', 'RESTO0d36de', 'RESTO82e2a6', 'RESTOcd6e90', 'RESTO6f47a9', 'RESTO6bc0e3', 'RESTOc0b4cb', 'RESTO1ac4e3', 'RESTO1d0984', 'RESTO006c0c', 'RESTOb9a21a', 'RESTO3c208c', 'RESTO33b6b9', 'RESTOfeb448', 'RESTO03b7b2', 'RESTO8a18c6', 'RESTO15602c']","['HOT8031c6', 'HOT78365a', 'HOT8610df', 'HOT280fd9']"
HIST9754dd43,USER5e2ac19f,FLYfcc45c,Dubai,United Arab Emirates,Bangladesh,Visa Required,Jessore,Dubai,5,"['RESTOd65a0c', 'RESTO157846', 'RESTO64fcf0', 'RESTO265fd6', 'RESTO8b1c60', 'RESTO588994', 'RESTOc811dd', 'RESTO82af76', 'RESTO91daaa', 'RESTOd4a290']",['HOT471596']
HISTc9018d65,USERfb2bc2c0,FLY697bf7,Istanbul,Türkiye,Tonga,Visa Required,Cox's Bazar,Istanbul,11,[],"['HOT0d761d', 'HOT46ddb2']"
HISTa87ba0a1,USER3c71d072,FLY98b869,London,United Kingdom,Papua New Guinea,Visa Free,Cox's Bazar,London,6,"['RESTO006c0c', 'RESTOe1162d', 'RESTOfeb448', 'RESTO6bc0e3', 'RESTO8a18c6', 'RESTOc0b4cb', 'RESTO6f47a9', 'RESTO15602c', 'RESTO82e2a6', 'RESTO0d36de', 'RESTO33b6b9', 'RESTO3c208c', 'RESTO8d65c2', 'RESTO1d0984', 'RESTOb9a21a', 'RESTOcd6e90', 'RESTO0d4f52', 'RESTO03b7b2']","['HOT843998', 'HOTbdde71']"
HIST7092012e,USER075e212e,FLY39225d,London,United Kingdom,Poland,Visa Free,Chittagong,London,14,"['RESTOcd6e90', 'RESTO0d4f52', 'RESTO15602c', 'RESTO1ac4e3', 'RESTO8a18c6', 'RESTOc0b4cb', 'RESTO8d65c2', 'RESTO33b6b9', 'RESTO82e2a6', 'RESTO6bc0e3', 'RESTO78189b', 'RESTO1d0984', 'RESTO6f47a9', 'RESTO0d36de', 'RESTOb9a21a', 'RESTOe1162d', 'RESTO006c0c', 'RESTO3c208c', 'RESTO03b7b2', 'RESTOfeb448']","['HOTf0b6ac', 'HOTdaa5c9', 'HOT66d7f4']"
HISTbfeea687,USERcd47a9cf,FLY16a4e0,London,United Kingdom,France,Visa Free,Cox's Bazar,London,3,"['RESTO1d0984', 'RESTO1ac4e3', 'RESTO82e2a6', 'RESTOfeb448', 'RESTO6bc0e3', 'RESTO6f47a9']",['HOTbdde71']
HISTa0d3e1e0,USER58868211,FLY3efb8f,Dubai,United Arab Emirates,Bangladesh,Visa Required,Saidpur,Dubai,8,"['RESTO588994', 'RESTOc811dd', 'RESTOeaf22e', 'RESTObe3105', 'RESTOd65a0c', 'RESTO4b852f', 'RESTO157846', 'RESTOcf3e0c', 'RESTO265fd6', 'RESTO8b1c60', 'RESTO2fc452', 'RESTOd4a290', 'RESTO64fcf0', 'RESTO879f0f', 'RESTO19112a', 'RESTO301769']","['HOT3eb17c', 'HOT179af9']"
HIST25d2aa2d,USER7fd57a21,FLYd027c1,New York,United States,Bangladesh,Visa Required,Saidpur,New York,9,[],[]
HIST98beee15,USEReb11f57d,FLYaf388e,New York,United States,Austria,Visa Free,Cox's Bazar,New York,9,[],[]
HIST5d68d6cb,USEReb11f57d,FLY171d51,Istanbul,Türkiye,Austria,Visa Free,Cox's Bazar,Istanbul,14,[],"['HOTc22832', 'HOT106713', 'HOT7fc258', 'HOT7e45e9']"
HIST79892a6d,USER98711153,FLY7a7f3a,Dubai,United Arab Emirates,Barbados,Visa Free,Rajshahi,Dubai,11,"['RESTO64fcf0', 'RESTO265fd6', 'RESTOd65a0c', 'RESTOd4a290', 'RESTO301769', 'RESTO3e2212', 'RESTOcf3e0c', 'RESTO157846', 'RESTO879f0f', 'RESTO82af76', 'RESTO4b852f', 'RESTOc811dd', 'RESTObe3105', 'RESTO588994', 'RESTOeaf22e', 'RESTO19112a', 'RESTO2fc452', 'RESTO8b1c60', 'RESTO3ecf6c', 'RESTO91daaa']","['HOT471596', 'HOT179af9']"
HISTc1584252,USERf1a11085,FLYc2e13c,Istanbul,Türkiye,United Arab Emirates,Visa Free,Rajshahi,Istanbul,9,[],"['HOT0d761d', 'HOT1b1a34', 'HOT654071']"
HISTe6baf6dd,USER6e23b9a1,FLYd5ceb2,London,United Kingdom,Bangladesh,Visa Required,Cox's Bazar,London,12,"['RESTO6f47a9', 'RESTO1ac4e3', 'RESTOcd6e90', 'RESTO82e2a6', 'RESTO78189b', 'RESTOb9a21a', 'RESTO8d65c2', 'RESTO1d0984', 'RESTO0d4f52', 'RESTO33b6b9', 'RESTO0d36de', 'RESTO8a18c6', 'RESTO3c208c', 'RESTO006c0c', 'RESTO15602c', 'RESTOe1162d', 'RESTO6bc0e3', 'RESTOfeb448', 'RESTO03b7b2', 'RESTOc0b4cb']","['HOTcbe623', 'HOTf0b6ac', 'HOT843998']"
HIST635cdc5d,USER210e15db,FLY91b31c,Dubai,United Arab Emirates,Jordan,Visa Required,Rajshahi,Dubai,4,"['RESTO879f0f', 'RESTOeaf22e', 'RESTO19112a', 'RESTO91daaa', 'RESTO2fc452', 'RESTOd4a290', 'RESTO265fd6', 'RESTObe3105']",['HOTad404c']
HISTe185d2ae,USER6c545e0f,FLY5ef02e,New York,United States,Tanzania,Visa Required,Dhaka,New York,13,[],[]
HISTce1d3e8f,USER2e5c172a,FLY3842e3,Istanbul,Türkiye,Bangladesh,Visa Required,Jessore,Istanbul,8,[],"['HOT0d761d', 'HOTc22832']"
HIST310f13df,USER1991006e,FLY813e6e,Dubai,United Arab Emirates,Bangladesh,Visa Required,Chittagong,Dubai,14,"['RESTO265fd6', 'RESTO3e2212', 'RESTO19112a', 'RESTO879f0f', 'RESTO64fcf0', 'RESTO8b1c60', 'RESTOeaf22e', 'RESTO301769', 'RESTOd65a0c', 'RESTO82af76', 'RESTO91daaa', 'RESTO2fc452', 'RESTO4b852f', 'RESTOc811dd', 'RESTO157846', 'RESTOcf3e0c', 'RESTO588994', 'RESTOd4a290', 'RESTO3ecf6c', 'RESTObe3105']","['HOTcb8aea', 'HOT3473a9', 'HOTa76daa', 'HOT471596']"
HIST05c59da9,USER193e6e63,FLY0309a6,New York,United States,Cambodia,Visa Required,Sylhet Osmani,New York,4,[],[]
HIST9b921c05,USER67373204,FLY51de1c,Dubai,United Arab Emirates,Panama,Visa Required,Dhaka,Dubai,9,"['RESTO82af76', 'RESTOcf3e0c', 'RESTOc811dd', 'RESTO588994', 'RESTO8b1c60', 'RESTO265fd6', 'RESTO3ecf6c', 'RESTOeaf22e', 'RESTO19112a', 'RESTO4b852f', 'RESTOd4a290', 'RESTO157846', 'RESTO879f0f', 'RESTO91daaa', 'RESTObe3105', 'RESTO301769', 'RESTO64fcf0', 'RESTOd65a0c']","['HOTad404c', 'HOT471596', 'HOTd64b28']"
HIST19e73bd5,USER2160d9b4,FLY6ad90c,New York,United States,Bangladesh,Visa Required,Barisal,New York,13,[],[]
HISTe0772433,USERe711418e,FLY40a514,London,United Kingdom,Nauru,Visa Free,Chittagong,London,7,"['RESTOc0b4cb', 'RESTOcd6e90', 'RESTO78189b', 'RESTO1d0984', 'RESTO8d65c2', 'RESTO0d4f52', 'RESTO6bc0e3', 'RESTOfeb448', 'RESTO0d36de', 'RESTO1ac4e3', 'RESTO8a18c6', 'RESTO33b6b9', 'RESTOb9a21a', 'RESTO15602c']","['HOT08278d', 'HOT280fd9']"
HIST1995d7ca,USER14c3760d,FLYd47e78,Dubai,United Arab Emirates,Bangladesh,Visa Required,Saidpur,Dubai,12,"['RESTO64fcf0', 'RESTO265fd6', 'RESTO2fc452', 'RESTO301769', 'RESTObe3105', 'RESTOc811dd', 'RESTOd65a0c', 'RESTO4b852f', 'RESTO879f0f', 'RESTO8b1c60', 'RESTOd4a290', 'RESTO588994', 'RESTO82af76', 'RESTO19112a', 'RESTO3e2212', 'RESTO91daaa', 'RESTOeaf22e', 'RESTO157846', 'RESTOcf3e0c', 'RESTO3ecf6c']","['HOTe2489d', 'HOT9f31bc', 'HOTcb8aea']"
HIST57b7a385,USERcb889026,FLYb35712,Dubai,United Arab Emirates,Barbados,Visa Free,Dhaka,Dubai,4,"['RESTOd65a0c', 'RESTOeaf22e', 'RESTO2fc452', 'RESTO3e2212', 'RESTO588994', 'RESTO879f0f', 'RESTO19112a', 'RESTO91daaa', 'RESTO265fd6', 'RESTO4b852f', 'RESTO301769', 'RESTOc811dd']",['HOT13e0df']
HISTf9ad75d2,USER2338e055,FLY52b12b,Dubai,United Arab Emirates,Bangladesh,Visa Required,Chittagong,Dubai,11,"['RESTOc811dd', 'RESTO91daaa', 'RESTOd4a290', 'RESTO82af76', 'RESTO265fd6', 'RESTO3ecf6c', 'RESTO157846', 'RESTO879f0f', 'RESTObe3105', 'RESTOd65a0c', 'RESTO19112a', 'RESTO2fc452', 'RESTO64fcf0', 'RESTOcf3e0c', 'RESTO3e2212', 'RESTO301769', 'RESTO8b1c60', 'RESTOeaf22e', 'RESTO4b852f', 'RESTO588994']","['HOT3473a9', 'HOTb66964', 'HOT179af9']"
HIST5055515a,USERf1a11085,FLYbf5f18,London,United Kingdom,United Arab Emirates,Visa Free,Rajshahi,London,10,"['RESTO33b6b9', 'RESTO0d36de', 'RESTO6bc0e3', 'RESTOfeb448', 'RESTO1ac4e3', 'RESTO03b7b2', 'RESTO6f47a9', 'RESTO1d0984', 'RESTO3c208c', 'RESTOb9a21a', 'RESTO8d65c2', 'RESTO8a18c6', 'RESTO0d4f52', 'RESTO78189b', 'RESTOe1162d', 'RESTO006c0c', 'RESTOcd6e90', 'RESTO82e2a6', 'RESTOc0b4cb', 'RESTO15602c']","['HOTf6d432', 'HOTbdde71']"
HISTa3fe9f55,USER292739c7,FLY27952c,Dubai,United Arab Emirates,Nicaragua,Visa Required,Rajshahi,Dubai,3,"['RESTOd65a0c', 'RESTO3e2212', 'RESTOcf3e0c', 'RESTO19112a', 'RESTO4b852f', 'RESTO82af76']",['HOT471596']
HIST15232727,USER14c3760d,FLY51abdb,New York,United States,Bangladesh,Visa Required,Saidpur,New York,14,[],[]
HIST683121cd,USERcdddb6ab,FLYec6a65,Dubai,United Arab Emirates,Georgia,Visa Free,Saidpur,Dubai,3,"['RESTObe3105', 'RESTO588994', 'RESTO82af76', 'RESTOc811dd', 'RESTO8b1c60', 'RESTOd4a290']",['HOT13e0df']
HISTa52d552f,USERfb9de427,FLY9f17d5,London,United Kingdom,Paraguay,Visa Free,Chittagong,London,13,"['RESTO1ac4e3', 'RESTO006c0c', 'RESTOb9a21a', 'RESTO03b7b2', 'RESTO3c208c', 'RESTO15602c', 'RESTO0d4f52', 'RESTOe1162d', 'RESTO0d36de', 'RESTO6bc0e3', 'RESTO78189b', 'RESTOcd6e90', 'RESTO33b6b9', 'RESTOc0b4cb', 'RESTO8d65c2', 'RESTO82e2a6', 'RESTOfeb448', 'RESTO8a18c6', 'RESTO6f47a9', 'RESTO1d0984']","['HOTdaa5c9', 'HOTbdde71', 'HOT280fd9', 'HOT31d525']"
HISTa2e25515,USERb4191586,FLY98b8db,Dubai,United Arab Emirates,North Macedonia,Visa Required,Saidpur,Dubai,4,"['RESTO879f0f', 'RESTOd65a0c', 'RESTO4b852f', 'RESTOd4a290', 'RESTO588994', 'RESTOeaf22e', 'RESTO2fc452', 'RESTO19112a']",['HOT9c79bf']
HISTc22a24ff,USER6c545e0f,FLY103a64,Dubai,United Arab Emirates,Tanzania,Visa Required,Dhaka,Dubai,12,"['RESTO2fc452', 'RESTO301769', 'RESTO82af76', 'RESTObe3105', 'RESTO19112a', 'RESTOc811dd', 'RESTO157846', 'RESTO4b852f', 'RESTOd65a0c', 'RESTO265fd6', 'RESTO8b1c60', 'RESTOd4a290', 'RESTO3ecf6c', 'RESTOcf3e0c', 'RESTO64fcf0', 'RESTO91daaa', 'RESTOeaf22e', 'RESTO3e2212', 'RESTO588994', 'RESTO879f0f']","['HOTad404c', 'HOTcb8aea', 'HOTb74b93']"
HIST07070fa2,USERdb93b5f6,FLY14429b,Dubai,United Arab Emirates,Tajikistan,Visa Required,Sylhet Osmani,Dubai,11,"['RESTOeaf22e', 'RESTO879f0f', 'RESTOc811dd', 'RESTO19112a', 'RESTO157846', 'RESTO301769', 'RESTO8b1c60', 'RESTOcf3e0c', 'RESTO2fc452', 'RESTO82af76', 'RESTO3ecf6c', 'RESTO64fcf0', 'RESTO4b852f', 'RESTO588994', 'RESTOd65a0c', 'RESTO3e2212', 'RESTOd4a290', 'RESTO265fd6', 'RESTO91daaa', 'RESTObe3105']","['HOTe5da72', 'HOT321e12', 'HOTd64b28']"
HISTe267984b,USER68f49965,FLY88bcb2,Istanbul,Türkiye,Bangladesh,Visa Required,Barisal,Istanbul,7,[],"['HOT81dfcb', 'HOT106713']"
HISTa5097c36,USER9dc14e6f,FLY1808be,Istanbul,Türkiye,Sweden,Visa Free,Sylhet Osmani,Istanbul,6,[],['HOTc22832']
HISTa5bc69f6,USERd2d25969,FLY153222,Istanbul,Türkiye,United Arab Emirates,Visa Free,Dhaka,Istanbul,11,[],"['HOT7e45e9', 'HOTa97f28']"
HISTe22ae52d,USERdd016d4b,FLYf24624,New York,United States,France,Visa Free,Jessore,New York,6,[],[]
HISTa1252da6,USERd1dd907e,FLY099ce2,New York,United States,Burundi,Visa Required,Saidpur,New York,10,[],[]
HISTc8c17704,USER0df99d04,FLY6564d2,Istanbul,Türkiye,Namibia,Visa Required,Barisal,Istanbul,10,[],"['HOTe48f8c', 'HOT0d761d']"
HIST8c65876a,USERf954ced4,FLYa28961,Istanbul,Türkiye,Bangladesh,Visa Required,Saidpur,Istanbul,7,[],"['HOT7d7b83', 'HOT46ddb2']"
HIST9e161cf7,USER5e2ac19f,FLY2ff270,New York,United States,Bangladesh,Visa Required,Jessore,New York,14,[],[]
HIST4a80563e,USER5e2ac19f,FLYe80cbe,Dubai,United Arab Emirates,Bangladesh,Visa Required,Jessore,Dubai,7,"['RESTO879f0f', 'RESTOeaf22e', 'RESTO4b852f', 'RESTOd65a0c', 'RESTO8b1c60', 'RESTO588994', 'RESTO3ecf6c', 'RESTO19112a', 'RESTO2fc452', 'RESTO265fd6', 'RESTO157846', 'RESTOc811dd', 'RESTOd4a290', 'RESTO91daaa']","['HOTe2489d', 'HOT321e12']"
HISTf821aced,USERba9517e6,FLY067825,London,United Kingdom,Vanuatu,Visa Required,Barisal,London,3,"['RESTO8d65c2', 'RESTO006c0c', 'RESTO8a18c6', 'RESTOfeb448', 'RESTO03b7b2', 'RESTO33b6b9']",['HOTf0b6ac']
HISTa961719d,USER8c2cbf42,FLYd35274,Dubai,United Arab Emirates,Bangladesh,Visa Required,Barisal,Dubai,10,"['RESTO157846', 'RESTO82af76', 'RESTO8b1c60', 'RESTO879f0f', 'RESTO19112a', 'RESTO265fd6', 'RESTOd4a290', 'RESTObe3105', 'RESTO301769', 'RESTO588994', 'RESTO64fcf0', 'RESTOd65a0c', 'RESTO91daaa', 'RESTO3e2212', 'RESTO4b852f', 'RESTO2fc452', 'RESTOcf3e0c', 'RESTOeaf22e', 'RESTOc811dd', 'RESTO3ecf6c']","['HOTe5da72', 'HOTb74b93']"
HIST298a895b,USER1991006e,FLYdda2c0,Istanbul,Türkiye,Bangladesh,Visa Required,Chittagong,Istanbul,6,[],"['HOT106713', 'HOT1b1a34']"
HIST3946ac48,USERe51db555,FLYe6acfd,Istanbul,Türkiye,Italy,Visa Free,Rajshahi,Istanbul,14,[],"['HOT48b258', 'HOT7d7b83', 'HOT2b4c5c', 'HOT81dfcb']"
HIST410388e1,USER98711153,FLYf9859b,Dubai,United Arab Emirates,Barbados,Visa Free,Rajshahi,Dubai,12,"['RESTO265fd6', 'RESTOeaf22e', 'RESTO3e2212', 'RESTO82af76', 'RESTO64fcf0', 'RESTO91daaa', 'RESTO19112a', 'RESTOd65a0c', 'RESTO3ecf6c', 'RESTO301769', 'RESTO879f0f', 'RESTObe3105', 'RESTOc811dd', 'RESTOd4a290', 'RESTO157846', 'RESTOcf3e0c', 'RESTO8b1c60', 'RESTO4b852f', 'RESTO2fc452', 'RESTO588994']","['HOTe5da72', 'HOTabff8f', 'HOT471596', 'HOT321e12']"
HISTcef817a3,USER13c54562,FLY5a23ac,London,United Kingdom,Nigeria,Visa Required,Rajshahi,London,14,"['RESTOfeb448', 'RESTO0d4f52', 'RESTO1d0984', 'RESTO03b7b2', 'RESTO3c208c', 'RESTO8a18c6', 'RESTO6f47a9', 'RESTO006c0c', 'RESTOcd6e90', 'RESTOe1162d', 'RESTOb9a21a', 'RESTO15602c', 'RESTO6bc0e3', 'RESTO0d36de', 'RESTOc0b4cb', 'RESTO82e2a6', 'RESTO1ac4e3', 'RESTO8d65c2', 'RESTO33b6b9', 'RESTO78189b']","['HOTc87b68', 'HOT91a871', 'HOT454946', 'HOT4bb686']"
HISTb65e19f3,USER78cc8a5c,FLYe95c28,London,United Kingdom,Chile,Visa Free,Jessore,London,14,"['RESTO0d36de', 'RESTO8a18c6', 'RESTO78189b', 'RESTO03b7b2', 'RESTO33b6b9', 'RESTOb9a21a', 'RESTOe1162d', 'RESTO1d0984', 'RESTOfeb448', 'RESTO3c208c', 'RESTOc0b4cb', 'RESTO0d4f52', 'RESTO15602c', 'RESTO6bc0e3', 'RESTO1ac4e3', 'RESTO6f47a9', 'RESTOcd6e90', 'RESTO006c0c', 'RESTO8d65c2', 'RESTO82e2a6']","['HOT66d7f4', 'HOTb12a6f', 'HOT91a871', 'HOT843998']"
HISTc301eb9b,USER2d18eeea,FLYfc9c14,London,United Kingdom,Bangladesh,Visa Required,Jessore,London,8,"['RESTOc0b4cb', 'RESTO78189b', 'RESTO006c0c', 'RESTO03b7b2', 'RESTO1d0984', 'RESTO33b6b9', 'RESTO8d65c2', 'RESTO6bc0e3', 'RESTO15602c', 'RESTOb9a21a', 'RESTOfeb448', 'RESTO82e2a6', 'RESTO1ac4e3', 'RESTO3c208c', 'RESTO8a18c6', 'RESTO6f47a9']","['HOT31d525', 'HOT66d7f4']"
HIST8a4cd425,USER0860f2f5,FLYae73ad,New York,United States,Marshall Islands,Visa Free,Barisal,New York,9,[],[]
HISTea8d8ba5,USER2fdefea9,FLY25c4cf,Istanbul,Türkiye,Bangladesh,Visa Required,Saidpur,Istanbul,8,[],"['HOT0d761d', 'HOT7d7b83']"
HIST06641808,USER02b5953b,FLY3621c1,London,United Kingdom,Bangladesh,Visa Required,Saidpur,London,4,"['RESTO03b7b2', 'RESTO0d36de', 'RESTOc0b4cb', 'RESTO82e2a6', 'RESTOe1162d', 'RESTO1d0984', 'RESTO1ac4e3', 'RESTO6f47a9']",['HOT3915d1']
HISTc8f6510d,USER7c186e4d,FLY3b9b1e,New York,United States,Bangladesh,Visa Required,Barisal,New York,5,[],[]
HIST78d99014,USER2d18eeea,FLY838aef,Istanbul,Türkiye,Bangladesh,Visa Required,Jessore,Istanbul,9,[],"['HOT1b1a34', 'HOT7fc258', 'HOTa97f28']"
HIST0a13a744,USERd512bbc2,FLYc7df2c,Dubai,United Arab Emirates,San Marino,Visa Free,Chittagong,Dubai,6,"['RESTOd65a0c', 'RESTObe3105', 'RESTO4b852f', 'RESTO2fc452', 'RESTO879f0f', 'RESTO8b1c60', 'RESTOd4a290', 'RESTO588994', 'RESTO301769', 'RESTO3ecf6c', 'RESTOc811dd', 'RESTO265fd6']",['HOTe5da72']
HIST8dad6e41,USER1991006e,FLY0aecfa,Istanbul,Türkiye,Bangladesh,Visa Required,Chittagong,Istanbul,3,[],['HOT7356a8']
HISTa4bec221,USEReca29d4c,FLY3133a1,Dubai,United Arab Emirates,Qatar,Visa Free,Barisal,Dubai,6,"['RESTO588994', 'RESTO82af76', 'RESTOcf3e0c', 'RESTO19112a', 'RESTO3e2212', 'RESTO265fd6', 'RESTOc811dd', 'RESTOd65a0c', 'RESTO64fcf0', 'RESTO8b1c60', 'RESTO4b852f', 'RESTOd4a290', 'RESTOeaf22e', 'RESTObe3105', 'RESTO2fc452', 'RESTO879f0f', 'RESTO157846', 'RESTO3ecf6c']",['HOTb74b93']
HIST73e3850b,USER353b9179,FLYe27aba,New York,United States,Suriname,Visa Required,Jessore,New York,11,[],[]
HIST40e4c614,USER2ee53ade,FLY7c0aac,New York,United States,Bangladesh,Visa Required,Chittagong,New York,9,[],[]
